# timestamp x y z qx qy qz qw
1780120701.583988667 3.809166772 -0.373712641 -0.256172205 -0.010278737 0.015844480 0.264476731 0.964207114
1780120701.884248734 3.915026212 -0.338526587 -0.266952924 -0.011358018 0.010347966 0.170115367 0.985304357
1780120702.184225321 4.015155111 -0.342526652 -0.245247240 -0.008655318 0.010545954 0.070840736 0.997394334
1780120702.484155655 4.123362702 -0.354639273 -0.242224174 -0.019330741 0.003835056 -0.035001840 0.999192917
1780120702.783898115 4.200878645 -0.406786920 -0.260240188 -0.019852674 0.015231659 -0.176854985 0.983918788
1780120702.983907700 4.234194941 -0.459874708 -0.249260152 -0.008290883 -0.009766703 -0.280488809 0.959771796
1780120703.184027672 4.255651705 -0.527238982 -0.253162690 -0.002650240 0.000358976 -0.383005504 0.923742189
1780120703.383987904 4.269117851 -0.585747656 -0.265527501 -0.008832584 0.004933893 -0.463714519 0.885926909
1780120703.583918333 4.237487313 -0.668597611 -0.247176829 0.005535790 -0.017754823 -0.560975208 0.827623669
1780120703.884086609 4.203349531 -0.788698270 -0.241732052 -0.000350012 -0.012961523 -0.667564831 0.744438763
1780120704.183987379 4.152670134 -0.858552163 -0.251750626 -0.012586178 -0.008420318 -0.732114392 0.681013365
1780120705.184079647 4.134384636 -1.164863222 -0.242900160 -0.022337394 -0.030188084 -0.723074748 0.689748236
1780120705.984030962 4.035555071 -1.451944903 -0.238066631 -0.022824437 -0.019131133 -0.783395855 0.620809133
1780120707.083806038 4.035678948 -1.809153059 -0.222433972 -0.019739784 -0.008284508 -0.726025315 0.687334670
1780120708.084640503 4.049541713 -2.216861761 -0.210505069 -0.019107479 -0.011531913 -0.686901547 0.726407725
1780120709.184257746 4.100779004 -2.658218848 -0.195194508 -0.023716058 0.002192916 -0.651652722 0.758143436
1780120710.084052563 4.224073223 -3.008441814 -0.184425346 -0.021915475 0.005364736 -0.569060371 0.821986147
1780120711.183978796 4.414130514 -3.446116860 -0.177199130 -0.015275723 -0.003724285 -0.611920292 0.790763136
1780120711.884601355 4.543785882 -3.654003174 -0.163350741 -0.023906226 0.002095601 -0.523010723 0.851988195
1780120712.384063482 4.669618094 -3.717288436 -0.168059262 -0.019402752 0.004278846 -0.440213024 0.897673503
1780120712.684086084 4.760825830 -3.772103469 -0.173582665 -0.019381659 0.013867998 -0.352958698 0.935335334
1780120713.083866835 4.884762004 -3.779156209 -0.180247254 -0.018279736 0.015795444 -0.251489875 0.967558369
1780120713.584195852 4.991673456 -3.767189923 -0.193086570 -0.010212580 0.012352929 -0.155544802 0.987698802
1780120713.884163857 5.011193192 -3.707586495 -0.200163037 -0.018791890 0.039968714 -0.065448076 0.996878085
1780120714.183987856 5.018985129 -3.649769676 -0.204549938 -0.021266583 0.047927589 0.025187870 0.998306691
1780120714.784085751 5.026404255 -3.594345098 -0.206808724 0.006607203 0.042464088 0.107440762 0.993282250
1780120715.384776592 5.147876115 -3.463454680 -0.232329508 -0.033320524 0.037082232 0.190167809 0.980485010
1780120715.584819555 5.171653345 -3.393737942 -0.226418343 -0.014064311 0.046210660 0.282165934 0.958148817
1780120715.784747839 5.187362297 -3.334325584 -0.232635294 -0.013772288 0.054490619 0.363954904 0.929719272
1780120715.984676123 5.155327232 -3.273922552 -0.223955919 -0.011292023 0.046931313 0.447523528 0.892968439
1780120716.284609795 5.119634781 -3.210565491 -0.214408014 -0.007283772 0.041993143 0.549621468 0.834325934
1780120716.584448099 5.087330749 -3.171015435 -0.226652213 -0.016246391 0.046983910 0.624245202 0.779645108
1780120717.384352684 5.068499417 -3.087459259 -0.222111229 0.000267481 0.053432957 0.701860984 0.710306981
1780120717.684262514 5.005389273 -3.031377457 -0.210569760 -0.009047062 0.033121646 0.760472290 0.648462029
1780120718.084176779 4.932473539 -2.933459534 -0.206849751 0.009418775 0.033098204 0.813495007 0.580552899
1780120719.083955288 4.761107645 -2.708320869 -0.212193630 0.032901074 0.016516221 0.858931454 0.510765593
1780120720.183894157 4.594427464 -2.348169917 -0.226111962 0.011095425 0.025216502 0.823837369 0.566156347
1780120721.183905602 4.465164852 -2.014408921 -0.217105344 0.021644374 0.030601527 0.822516452 0.567504849
1780120722.183907986 4.291194658 -1.638223726 -0.234427862 0.019897213 0.022467868 0.827265439 0.561009081
1780120723.184946060 4.092604543 -1.268387108 -0.232590236 0.004913630 0.016306206 0.841937841 0.539305697
1780120723.983989239 4.016313886 -0.939228504 -0.229748452 0.019182826 0.010524222 0.786752917 0.616880141
1780120724.984637260 3.888191977 -0.570450908 -0.246263942 0.003819094 0.010970608 0.769074629 0.639053422
